date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:14	73514/73514	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/index.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/index.html	(from )
09:51:15	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://mortezakarimi.github.io/robots.txt		(from )
09:51:15	121200/121200	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap/dist/css/bootstrap.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap/dist/css/bootstrap.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:15	24903/24903	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-rtl/dist/css/bootstrap-rtl.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-rtl/dist/css/bootstrap-rtl.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:16	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/font-awesome/css/font-awesome.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/font-awesome/css/font-awesome.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:16	1458/1458	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/nprogress/nprogress.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/nprogress/nprogress.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:16	1317/1317	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/iCheck/skins/flat/green.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/iCheck/skins/flat/green.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:17	5014/5014	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:17	621/621	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/jqvmap.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/jqvmap/dist/jqvmap.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:17	8133/8133	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:58%20GMT	https://mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-daterangepicker/daterangepicker.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/vendors/bootstrap-daterangepicker/daterangepicker.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:18	62471/62471	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/build/css/custom.min.css	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/build/css/custom.min.css	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:18	4077/4077	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/build/images/img.jpg	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/build/images/img.jpg	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:18	53324/53324	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/index2.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/index2.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:19	59514/59514	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/index3.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/index3.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:19	101716/101716	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:19	166913/166913	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_advanced.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_advanced.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	23541/23541	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_validation.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_validation.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	36801/36801	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_wizards.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_wizards.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	17282/17282	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_upload.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_upload.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	36236/36236	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_buttons.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_buttons.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:21	90399/90399	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/general_elements.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/general_elements.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
